"Date" "AAPL" "AXP" "BA" "CAT" "CSCO"
"2014-09-30" 92.111702 81.104637 111.560608 83.845947 21.640192
"2014-10-07" 92.287369 77.37381 106.427025 78.438751 19.991655
"2014-10-14" 92.241142 78.523476 109.837631 80.449333 19.991655
"2014-10-21" 97.187912 80.972382 107.902588 84.950211 20.715292
"2014-10-28" 101.154572 84.916779 111.357391 86.398521 21.430218
"2014-11-04" 100.627525 86.365547 110.129234 88.114059 21.927176
"2014-11-11" 105.855652 84.243805 114.131218 87.674408 23.078026
"2014-11-18" 110.164543 85.094376 119.632469 91.346924 23.566269
"2014-11-25" 106.858582 86.122528 117.6595 85.346756 24.054508
"2014-12-02" 104.379112 87.449783 115.784279 82.113937 23.740635
"2014-12-09" 100.506699 84.159676 108.496651 77.372452 23.261116
"2014-12-16" 104.880577 87.505859 113.953468 79.588028 24.603773
"2014-12-23" 105.781364 88.113419 117.57061 80.786331 24.813019
"2014-12-30" 98.667984 84.645706 114.691116 75.027573 23.592422
"2015-01-06" 101.453903 83.65493 116.308617 74.906891 24.623724
"2015-01-13" 98.426529 80.657516 116.228638 72.294754 24.298923
"2015-01-20" 105.029175 78.088921 119.152573 74.773598 24.553499
"2015-01-27" 110.164543 76.992111 129.986252 70.26268 23.552753
"2015-02-03" 111.176758 79.663826 131.159363 73.591553 23.807329
"2015-02-10" 118.477295 73.195473 133.070129 73.991356 25.835165
"2015-02-17" 123.996544 75.276604 138.373276 72.565941 26.010731
"2015-02-24" 120.351219 76.898361 137.532745 72.140068 26.502335
"2015-03-03" 118.533218 75.473488 138.382217 70.236595 25.773712
"2015-03-10" 116.491478 76.401527 137.416443 69.506523 24.843187
"2015-03-17" 118.598503 77.057739 136.6474 70.479973 24.939754
"2015-03-24" 117.815361 73.167351 136.549057 70.723335 24.272583
"2015-03-31" 118.729012 74.648514 134.966217 70.827629 23.895105
"2015-04-07" 118.262863 74.559387 137.031921 71.392578 24.750256
"2015-04-14" 118.962082 72.640633 136.522232 73.530708 25.192539
"2015-04-21" 123.670227 72.885185 132.167313 74.779861 25.555214
"2015-04-28" 119.987633 73.628227 128.78714 76.506325 25.802896
"2015-05-05" 117.768753 74.963852 130.45932 77.794563 25.838276
"2015-05-12" 121.883774 75.405922 132.03334 77.373917 26.324789
"2015-05-19" 124.083832 76.42173 130.323395 77.671867 25.882504
"2015-05-26" 122.211426 74.747536 127.119537 74.955147 25.811737
"2015-06-02" 119.64624 74.12674 126.570587 75.498482 25.015629
"2015-06-09" 118.822388 74.540588 128.055511 76.35733 25.192539
"2015-06-16" 119.468369 76.42173 131.124405 77.356369 25.599442
"2015-06-23" 116.584877 73.176765 124.851662 74.753578 24.361048
"2015-06-30" 117.96109 72.979233 126.462593 72.869415 24.077982
"2015-07-07" 117.642792 74.13974 131.952332 73.298805 24.771629
"2015-07-14" 123.643814 74.866692 132.042328 72.080696 24.985559
"2015-07-21" 114.937164 70.73156 126.921547 66.617004 25.146008
"2015-07-28" 110.883423 71.732292 129.315445 68.33284 25.27972
"2015-08-04" 112.081764 76.717102 131.268372 70.897758 25.484737
"2015-08-11" 110.181572 76.471649 130.819794 69.464935 25.698673
"2015-08-18" 96.977837 70.476669 115.196396 64.405869 22.454025
"2015-08-25" 106.043655 72.430916 118.357307 67.60759 23.06908
"2015-09-01" 102.761513 69.938522 117.524033 64.653519 22.74818
"2015-09-08" 108.441757 70.939247 121.753685 64.361641 22.908632
"2015-09-15" 108.347717 72.449814 123.193771 63.82214 22.76601
"2015-09-22" 105.742714 69.239883 116.047775 56.41925 22.872974
"2015-09-29" 104.18158 72.9785 121.38237 61.186466 23.933725
"2015-10-06" 104.952744 72.98793 127.414337 62.353947 25.124155
"2015-10-13" 105.075005 72.970413 125.367455 61.26606 25.384745
