"Date" "S&P 500" "FTSE 100" "CAC 40" "DAX 30"
1991-06-28 423.62 802.11 1958.86 1666.09
1991-06-29 420.07 789.78 1938.74 1622.18
1991-07-02 427.73 800.18 1977.86 1625.2
1991-07-03 427.22 805.68 1966.12 1610.5
1991-07-04 422.71 801.61 1930.28 1614.41
1991-07-05 422.71 808.87 1922.33 1616.11
1991-07-06 423.63 813.53 1939.32 1618.91
1991-07-09 428.01 807.84 1929.36 1605.04
1991-07-10 425.98 814.62 1952.31 1627.63
1991-07-11 425.56 821.34 1980.61 1634.74
1991-07-12 426.95 822.07 1976.84 1637.85
1991-07-13 430.67 817.77 1977.14 1644.76
1991-07-16 433.17 830.43 1985.91 1646.57
1991-07-17 432.22 838.49 1981.97 1643.85
1991-07-18 431.83 839.77 1984.91 1625.51
1991-07-19 436.58 835.25 1984.26 1618.33
1991-07-20 435.28 833.47 1991.04 1623.99
1991-07-23 433.8 839.03 1990.18 1623.03
1991-07-24 429.88 848.79 1997.13 1632.94
1991-07-25 429.01 846.1 2007.44 1621.69
1991-07-26 431.66 845.93 2010.35 1615.38
1991-07-27 431.65 849.13 1996.93 1605.64
1991-07-30 434.24 854.31 1985.91 1605.57
1991-07-31 438.37 854.53 1984.42 1614.93
1991-08-01 439.65 852.4 1982.92 1622.31
1991-08-02 438.89 853.16 1996.57 1622.56
1991-08-03 439.02 856.54 1996.25 1615.36
1991-08-06 436.79 851.29 1991.39 1622.03
1991-08-07 443.31 847.18 1988.35 1611.9
1991-08-08 443.42 855.16 2014.23 1631.43
1991-08-09 442.08 856.34 2022.21 1630.21
1991-08-10 439.72 846.61 2015.48 1632.21
1991-08-13 440.87 848.63 2011.91 1626.06
1991-08-14 442.71 853.83 2044.07 1644.72
1991-08-15 443.09 861.72 2057.03 1650.19
1991-08-16 442.47 864.45 2057.03 1654.29
1991-08-17 438.28 865.66 2057.03 1653.33
1991-08-20 428.01 839 1907 1497.93
1991-08-21 431.38 843.62 1949.97 1526.93
1991-08-22 444.08 859.3 2026.02 1570.82
1991-08-23 444.94 866.26 2055.7 1630.83
1991-08-24 448.17 872.17 2071.88 1627.24
1991-08-27 447.96 872.17 2094.4 1654.19
1991-08-28 447.16 865.36 2090.21 1647.12
1991-08-29 451.3 866.74 2092.65 1647.5
1991-08-30 451.12 871.49 2099.32 1655.5
1991-08-31 450.06 873.78 2106.7 1650.5
1991-09-03 450.06 885.71 2105.85 1650.46
1991-09-04 446.39 882.26 2116.78 1655.64
1991-09-05 443.94 880.66 2102.81 1647.91
1991-09-06 443 880.3 2111.67 1647.17
1991-09-07 442.97 881.73 2102.32 1646.18
1991-09-10 442.53 876.88 2097.23 1633.06
1991-09-11 438.11 869.53 2079.81 1629.12
1991-09-12 438.72 868.15 2082.17 1628.19
1991-09-13 441.29 873.28 2103.2 1631.32
1991-09-14 437.03 868.06 2120.18 1637.62
1991-09-17 439.71 864.99 2122.52 1629.75
1991-09-18 439.43 861.26 2122.7 1634.55
1991-09-19 441.07 857.6 2112.51 1628.07
1991-09-20 441.78 859.31 2124.89 1620.7
1991-09-21 442.27 863.1 2130.68 1616.07
1991-09-24 440 856.31 2133.92 1614.16
1991-09-25 442.21 855.32 2130.39 1626.63
1991-09-26 441.29 862.31 2122.14 1625.41
1991-09-27 440.85 861.56 2120.51 1619.99
1991-09-28 440.18 862.71 2128.78 1608.14
1991-10-01 442.53 870.87 2125.15 1607.03
1991-10-02 444.08 878.66 2132.81 1609.62
1991-10-03 443 878.31 2122.51 1607.32
1991-10-04 438.69 872.05 2109.92 1607.32
1991-10-05 435.22 871.73 2092.73 1601.73
1991-10-08 433.26 862.49 2083.33 1588.66
1991-10-09 434.63 863.49 2088.45 1578.71
1991-10-10 430.22 858.4 2083.16 1567.22
1991-10-11 434.5 853.97 2083.4 1567.95
1991-10-12 435.6 848.95 2072.29 1568.42
1991-10-15 441.33 855.89 2071.8 1571.04
1991-10-16 446.54 856.59 2098.36 1585.04
1991-10-17 448.59 857.34 2105.72 1570.11
1991-10-18 447.6 860.54 2096.77 1564.51
1991-10-19 448.26 864.56 2106.62 1563.25
1991-10-22 445.45 856.32 2086.02 1572.68
1991-10-23 442.95 850.81 2075.65 1580.71
1991-10-24 443.08 851.43 2068.39 1587.89
1991-10-25 439.8 840.48 2069.8 1579.01
1991-10-26 438.83 836.23 2073.4 1572.03
1991-10-29 445.01 850.89 2092.92 1576.81
1991-10-30 447.36 849.22 2094.53 1590.75
1991-10-31 449.05 857.21 2103.92 1582.83
1991-11-01 448.48 853.34 2098.12 1582.06
1991-11-02 447.2 847.9 2098.12 1573.55
1991-11-05 446.38 840.68 2080.99 1570.21
1991-11-06 444.81 845.04 2087.09 1576.12
1991-11-07 446.37 842.96 2074.83 1574.22
1991-11-08 450.72 844.04 2077.66 1578.4
1991-11-09 450 851.04 2099.11 1606.22
1991-11-12 450.26 851.28 2099.11 1609.02
1991-11-13 454.44 858.17 2100.12 1621.22
1991-11-14 455.25 848.29 2086.96 1623.23
1991-11-15 455 853.49 2111.53 1620.96
1991-11-16 438.36 848.35 2105.5 1629.37
1991-11-19 441.51 833.95 2043.42 1611.93
1991-11-20 434.85 820.69 1994.63 1599.05
1991-11-21 433.86 823.98 1992.82 1599.05
1991-11-22 435.62 820.38 1995.68 1598.1
1991-11-23 431.25 815 1967.72 1600.26
1991-11-26 430.45 819.87 1969.95 1589.16
1991-11-27 433.45 824.76 1999.02 1602.87
1991-11-28 431.9 817.03 1986.46 1586.16
1991-11-29 431.9 810.5 1983.1 1588.16
1991-11-30 430.41 807.8 1966.76 1566.57
1991-12-03 437.67 806.14 1931.8 1545.44
1991-12-04 437.27 807.78 1946.98 1546.84
1991-12-05 436.28 808.99 1937.63 1560.96
1991-12-06 433.22 803.33 1925.53 1553.42
